City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,black point,-34.6187,137.8972,292.13,49,2,3.32,AU,1708720224
352,totness,5.8833,-56.3167,299.55,82,44,5.91,SR,1708682378
353,cadale,2.7603,46.3222,299.48,73,85,8.4,SO,1708744004
354,bairnsdale,-37.8333,147.6167,294.85,53,6,0.89,AU,1708717672
355,dera bugti,29.0307,69.151,284.73,16,30,2.89,PK,1708739694
356,adrar,20.5022,-10.0711,290.39,21,1,4.23,MR,1708758286
357,san lawrenz,36.0553,14.204,287.82,80,100,9.89,MT,1708753261
358,tindouf,27.6711,-8.1474,289.4,55,0,9.26,DZ,1708758164
359,acapulco de juarez,16.8634,-99.8901,300.05,74,20,4.12,MX,1708693308
360,wuyang,31.9925,116.2472,270.72,95,100,2.15,CN,1708728558
